baseline OK (fast pass, all mutants)

[tree_5_the_bar_t_t_bar_5_widened_to_t_t_bar_5] (#1) killed  tree_5: the bar T >= T_BAR_5 widened to T > T_BAR_5
[final_review_i_1_gate1c_failures_5_never_compares_the_record_s_steps_set] (#43) killed  final review I-1: gate1c_failures_5 never compares the record's steps set
[final_review_m_4_the_measured_dtype_never_checked] (#44) killed  final review M-4: the measured dtype never checked
[totality_95697235f9] (#45) killed  run(): totality — collect_total_5 stripped at line 1110 (_check_halts...)
[totality_1bc33db24b] (#46) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1114 (frozen_check or b5.check_frozen_5...)
[totality_49618d9fb5] (#47) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1123 (lambda: b5.require_prereg_5(tag_exists=tag_exists, blob_sha=...)
[totality_ad39e59a5f] (#48) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1128 (lambda: b5.require_targets_seal_5(root, tag_exists=tag_exist...)
[totality_dbe9455868] (#49) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1136 (lambda: manifest if manifest_injected else b5.load_manifest_...)
[totality_138a23d00f] (#50) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1149 (_load_slice...)
[totality_3ec118fa91] (#51) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1162 (bt.load_battery...)
[totality_223e38694e] (#52) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1164 (b5.load_floors_5...)
[totality_4f95d553d7] (#53) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1166 (a2d.load_verify...)
[totality_ed13262569] (#54) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1179 (_load_host...)
[totality_1007afd168] (#55) survived-fast, killed by the slow suite — test_totality_5.py::test_every_runner_leavable_tree_shape_gives_insufficient_data (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1191 (_load_all_units...)
[totality_33f9851f81] (#56) survived-fast, killed by the slow suite — test_totality_5.py::test_every_runner_leavable_tree_shape_gives_insufficient_data (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1239 (_check_loss_table...)
[totality_3339204c5a] (#57) killed  run(): totality — collect_total_5 stripped at line 1255 (_check_power...)
[totality_ca59f913cb] (#58) survived-fast, killed by the slow suite — test_totality_5.py::test_every_runner_leavable_tree_shape_gives_insufficient_data (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1282 (_check_projection...)
[totality_bed8157518] (#59) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1396 (_make_cells...)
[totality_456c3066bc] (#60) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1403 (_make_primary...)
[totality_2c46608367] (#61) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1410 (_make_modifier...)
[totality_b47686f67d] (#62) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1417 (_make_signed_offset...)
[totality_7a4d35f5a0] (#63) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1119 (b5.check_imports_5...)
[totality_b2fb2be78d] (#64) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1207 (_check_gate1a...)
[totality_7e528df1ad] (#65) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1220 (_check_gate1b...)
[totality_7226035f79] (#66) killed  run(): totality — collect_total_5 stripped at line 1380 (_gate4...)
[totality_71c7feae97] (#67) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1422 (b5.check_imports_5...)
[totality_5b3140592f] (#68) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1462 (_write_verdict...)
[totality_71da69b926] (#69) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1159 (_check_referents...)
[totality_f7541f99c2] (#70) killed  run(): totality — collect_total_5 stripped at line 1309 (_check_spine...)
[totality_40ef758834] (#71) killed  run(): totality — collect_total_5 stripped at line 1351 (_load_search_log...)
[totality_fdf4511a43] (#72) survived-fast, killed by the slow suite — test_totality_5.py::test_site_template_count_matches_the_brief (individually re-confirmed, see PROGRESS.md)  run(): totality — collect_total_5 stripped at line 1322 (_check_gate1c...)

47 killed by the fast suite directly; 25 killed by the slow suite (each individually re-confirmed via --worlds-only, not inferred — see mutation_worlds.log); 0 documented equivalent; considered=72; 0 UNRESOLVED survivor(s): []; 0 SKIP (target text not found / -k selected nothing): []; 0 TIMEOUT (not a kill, not a survivor): []
