baseline OK (fast pass, [39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106] mutants)

[ 39] killed  reference_4 run(): the endpoint digest pin skipped
[ 87] killed  run(): totality -- collect_total_4 stripped at line 1505 (check_imports_4...)
[ 88] killed  run(): totality -- collect_total_4 stripped at line 1584 (lambda refs=refs: collect_4.load_ref_tables_4(root, refs)...)
[ 89] killed  run(): totality -- collect_total_4 stripped at line 1591 (lambda traj=traj, ref_tables_g0=ref_tables_g0:...)
[ 90] killed  run(): totality -- collect_total_4 stripped at line 1608 (lambda: json.loads(elig_path.read_text())...)
[ 91] killed  run(): totality -- collect_total_4 stripped at line 1623 (lambda: json.loads(power_path.read_text())...)
[ 92] killed  run(): totality -- collect_total_4 stripped at line 1687 (lambda: cells_4(series_by_traj, rs_available, eligibility)...)
[ 93] killed  run(): totality -- collect_total_4 stripped at line 1694 (lambda: primary_4(cells, n_boot=n_boot, seed=0)...)
[ 94] killed  run(): totality -- collect_total_4 stripped at line 1784 (check_imports_4 if imports_pinned else (lambda: None)...)
[ 95] killed  run(): totality -- collect_total_4 stripped at line 1497 (lambda p=p: p.read_text().strip()[:200]...)
[ 96] killed  run(): totality -- collect_total_4 stripped at line 1529 (lambda: mkr.check_referents(REFERENTS_PATH_4, sha_pin=refere...)
[ 97] killed  run(): totality -- collect_total_4 stripped at line 1541 (lambda traj=traj: battery_4.load_outcome_4(traj, battery=bat...)
[ 98] killed  run(): totality -- collect_total_4 stripped at line 1611 (lambda: eligibility_table_4(root)...)
[ 99] killed  run(): totality -- collect_total_4 stripped at line 1626 (lambda: _check_power_matches_eligibility_4(power, eligibilit...)
[100] killed  run(): totality -- collect_total_4 stripped at line 1652 (lambda traj=traj: battery_4.gate1_rederive_4(root, traj)...)
[101] killed  run(): totality -- collect_total_4 stripped at line 1666 (lambda traj=traj: load_sweep_tables_4(root, traj)...)
[102] killed  run(): totality -- collect_total_4 stripped at line 1671 (lambda refs=refs: collect_4.load_ref_tables_4(root, refs)...)
[103] killed  run(): totality -- collect_total_4 stripped at line 1676 (lambda traj=traj, ref_tables=ref_tables, sweep_tables=sweep_...)
[104] killed  run(): totality -- collect_total_4 stripped at line 1708 (thunk...)
[105] killed  run(): totality -- collect_total_4 stripped at line 1546 (lambda oc=oc: battery_4.rung_sets_4(oc, floors)...)
[106] killed  run(): totality -- collect_total_4 stripped at line 1641 (lambda p=g1_path: json.loads(p.read_text())...)

65/68 killed; 3 survivor(s): [(40, 'reference_4 run(): the first-unit digest pin skipped', 'survived'), (42, 'reference_4 run(): eligibility is written even when `only` restricts the run', 'survived'), (44, 'sweep_4 run(): the eligibility-record-present requirement removed', 'survived')]; 0 SKIP (target text not found, stale mutant): []
