baseline OK (fast pass, all mutants)

[ 1] killed  read_rows_2k: seed-set exact-match loosened to subset-accepted
[26] SURVIVED  load_tier_2k/_gate: the draws_compared attestation check removed
[27] SURVIVED  load_tier_2k/_bits: the per_seed_tallies re-derivation check removed
[28] killed  load_tier_2k: committed_sha argument dropped from the record check
[29] SURVIVED  seal_failures_2k: the 256-draw counts check removed
[30] SURVIVED  seal_failures_2k: the counts_by_k ladder check removed
[31] SURVIVED  seal_failures_2k: the per-file sha check removed
[32] SURVIVED  seal_failures_2k: the composite sha256 check removed
[33] killed  load_power_2k: the rung-set equality loosened to a subset check
[34] killed  load_power_2k: the predictor_sha256 check removed
[35] SURVIVED  run()/_cmp: the x_A^(64)-vs-2d comparison loop removed (world/totality only)
[36] SURVIVED  run()/_cmp: the per-rung d comparison loop removed (world/totality only)
[37] SURVIVED  run()/_core: the block gate inverted (raises on a correct reproduction) — world/totality only
[38] killed  run(): the halt-marker scan removed — a halted tree no longer refuses
[39] killed  s1_blocks: sd uses ddof=0 instead of ddof=1
[40] killed  placement_on_ladder: log2 interpolation replaced by linear interpolation in k
[41] killed  s3_matched: n_blocks hardcoded to 1 (the block machinery's block count ignored)
[42] killed  ladder_2k: iterates only k in (64, 256), dropping 128/192
[43] killed  check_imports_2k: the tests/-directory exclusion swallows everything ('tests' in rp.parts -> True)
[44] killed  run(): totality — collect_total stripped at line 288 (bg.load_battery...)
[45] killed  run(): totality — collect_total stripped at line 289 (bg.load_floors...)
[46] killed  run(): totality — collect_total stripped at line 290 (a2d.load_verify...)
[47] killed  run(): totality — collect_total stripped at line 291 (lambda: pr.load_predictor(bg.predictor_path(bg.EXP2G), sha_p...)
[48] killed  run(): totality — collect_total stripped at line 297 (lambda: bi.load_manifest(bi.CHECKPOINTS_PATH, sha_pin=bi.CHE...)
[49] killed  run(): totality — collect_total stripped at line 300 (lambda: an2i._load_predictor_seal_content(root_2i)...)
[50] killed  run(): totality — collect_total stripped at line 306 (lambda: an2i._load_rung_set(root_2i)...)
[51] killed  run(): totality — collect_total stripped at line 317 (lambda: an2i.load_predictor_records_2i(root_2i, battery, ent...)
[52] killed  run(): totality — collect_total stripped at line 326 (lambda: an2i.load_endpoint_which(root_2i, "stage1_final", ba...)
[53] killed  run(): totality — collect_total stripped at line 349 (lambda: an2i.load_sweep_7b(root_2i, battery, verify_fn, mani...)
[54] killed  run(): totality — collect_total stripped at line 355 (lambda: an2i.gate1_rederive_7b(sweep[bi.ENDPOINT_STEP_7B], s...)
[55] killed  run(): totality — collect_total stripped at line 361 (lambda: bi.sampler_counts_olmo(r_cap, root=root_2i, battery=...)
[56] killed  run(): totality — collect_total stripped at line 377 (lambda: _bits_b() if _pr and x_b else...)
[57] killed  run(): totality — collect_total stripped at line 379 (lambda: an2j.load_pythia_outcomes(battery, verify_fn) if bat...)
[58] killed  run(): totality — collect_total stripped at line 716 (frozen_check or bk.check_frozen_2k...)
[59] killed  run(): totality — collect_total stripped at line 721 (lambda: bk.require_prereg_2k(tag_exists=tag_exists, blob_sha...)
[60] killed  run(): totality — collect_total stripped at line 756 (lambda: json.loads(bk.seal_path(root_2k).read_text())...)
[61] killed  run(): totality — collect_total stripped at line 764 (lambda: load_power_2k(root_2k, r_cap, seal["sha256"]) if (se...)
[62] killed  run(): totality — collect_total stripped at line 287 (thunk...)
[63] killed  run(): totality — collect_total stripped at line 296 (lambda: sg.check_strata_pins(strata)...)
[64] killed  run(): totality — collect_total stripped at line 312 (lambda: bi.entry_7b(manifest, bi.ENDPOINT_STEP_7B)...)
[65] killed  run(): totality — collect_total stripped at line 314 (lambda: bi.entry_1b_endpoint(manifest)...)
[66] killed  run(): totality — collect_total stripped at line 322 (lambda: an2i._check_predictor_seal_sampling(predictor_rec, p...)
[67] killed  run(): totality — collect_total stripped at line 332 (lambda: an2i._check_rung_set_vs_endpoint(rung_set, stage1_fi...)
[68] killed  run(): totality — collect_total stripped at line 347 (lambda: json.loads(g1p.read_text())...)
[69] killed  run(): totality — collect_total stripped at line 366 (lambda: an2i._check_predictor_counts_2i(predictor_rec, predi...)
[70] killed  run(): totality — collect_total stripped at line 384 (lambda: an2i.outcomes_7b(sweep, rungs=tuple(bt.RUNGS))...)
[71] killed  run(): totality — collect_total stripped at line 409 (lambda: json.loads(rp.read_text())...)
[72] killed  run(): totality — collect_total stripped at line 420 (lambda: bk.read_rows_2k(dp)...)
[73] killed  run(): totality — collect_total stripped at line 441 (_gate...)
[74] killed  run(): totality — collect_total stripped at line 451 (_bits...)
[75] SURVIVED  run(): totality — collect_total stripped at line 718 (check_imports_2k...)
[76] SURVIVED  run(): totality — collect_total stripped at line 762 (lambda: seal_failures_2k(seal, cells, root_2k)...)
[77] SURVIVED  run(): totality — collect_total stripped at line 800 (_cmp...)
[78] SURVIVED  run(): totality — collect_total stripped at line 816 (_core...)
[79] SURVIVED  run(): totality — collect_total stripped at line 818 (check_imports_2k if imports_pinned else (lambda: None)...)
[80] killed  run(): totality — collect_total stripped at line 335 (lambda: an2i._check_rung_set_derivation(rung_set, stage1_fin...)
[81] killed  run(): totality — collect_total stripped at line 727 (lambda: mkr.check_referents(REFERENTS_PATH_2K, sha_pin=refer...)
[82] SURVIVED  run(): totality — collect_total stripped at line 746 (lambda size=size: load_tier_2k(root_2k, size, battery=batter...)
[83] SURVIVED  run(): totality — collect_total stripped at line 844 (thunk...)

66/83 killed; 17 survivor(s): [(13, 'matched_k_256: the cap condition >= loosened to > (a tie no longer caps at 64)', 'survived'), (26, 'load_tier_2k/_gate: the draws_compared attestation check removed', 'survived'), (27, 'load_tier_2k/_bits: the per_seed_tallies re-derivation check removed', 'survived'), (29, 'seal_failures_2k: the 256-draw counts check removed', 'survived'), (30, 'seal_failures_2k: the counts_by_k ladder check removed', 'survived'), (31, 'seal_failures_2k: the per-file sha check removed', 'survived'), (32, 'seal_failures_2k: the composite sha256 check removed', 'survived'), (35, 'run()/_cmp: the x_A^(64)-vs-2d comparison loop removed (world/totality only)', 'survived'), (36, 'run()/_cmp: the per-rung d comparison loop removed (world/totality only)', 'survived'), (37, 'run()/_core: the block gate inverted (raises on a correct reproduction) — world/totality only', 'survived'), (75, 'run(): totality — collect_total stripped at line 718 (check_imports_2k...)', 'survived'), (76, 'run(): totality — collect_total stripped at line 762 (lambda: seal_failures_2k(seal, cells, root_2k)...)', 'survived'), (77, 'run(): totality — collect_total stripped at line 800 (_cmp...)', 'survived'), (78, 'run(): totality — collect_total stripped at line 816 (_core...)', 'survived'), (79, 'run(): totality — collect_total stripped at line 818 (check_imports_2k if imports_pinned else (lambda: None)...)', 'survived'), (82, 'run(): totality — collect_total stripped at line 746 (lambda size=size: load_tier_2k(root_2k, size, battery=batter...)', 'survived'), (83, 'run(): totality — collect_total stripped at line 844 (thunk...)', 'survived')]; 0 SKIP (target text not found, stale mutant): []
